Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/vun-dap-tam-hon-nhung-ke-kho-ua-ho-do-do-khoai-hung-hang-truyen-ke-truoc-gio-di-ngu.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935244875621.jpg "

					Vun Đắp Tâm Hồn - Những Kẻ Khó Ưa - Hổ Đô Đô Khoái Hung Hăng (Truyện Kể Trước Giờ Đi Ngủ)				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Ren				" "
				    Kim Đồng				" "
				    2022				" "
				    18.5 x 18.5 x 0.1 cm				" "
				    Bìa Mềm				" "
Những kẻ khó ưa kể về cuộc phiêu lưu của những bạn thú không được đáng yêu cho lắm như Hổ Hung Hăng, Vịt Mộng Mơ, Bò So Đo và Khỉ Ha Ha. Qua đó, bé sẽ được dẫn bước vào thế giới tưởng tượng đầy sôi động và nhận biết cách trở thành một em bé ngoan.
Tác giả Ren tên thật là Trần Mai, một họa sĩ minh họa nhiều năm kinh nghiệm dạy vẽ cho tuổi mầm non. Thông qua trang sách đa sắc và giàu tưởng tượng, tác giả tin rằng tâm hồn các bé sẽ tràn ngập tình yêu và lớn khôn từng ngày. 
" "
				    20				" "Sách tiếng Việt" "Thiếu nhi" "Truyện Thiếu Nhi" "Truyện Tranh Thiếu Nhi" "15.300 đ" "17.000 đ"
https://www.fahasa.com/nhung-nguoi-ban-ngo-nghinh-hay-giu-trat-tu-nhe.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_189696.jpg "

					Những Người Bạn Ngộ Nghĩnh - Hãy Giữ Trật Tự Nhé!				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Aya Watanabe				" "
				    NXB Kim Đồng				" "
				    2019				" "
				    17 x 18.5				" "
				    Bìa Mềm				" "
Được đi chơi! Ta đi khắp nơi!
NHỮNG NGƯỜI BẠN NGỘ NGHĨNH - Bộ tranh truyện Ehon Nhật Bản dành cho các bé lứa tuổi mẫu giáo của tác giả AYA WATANABE.
AYA WATANABE
Sinh năm 1978 tại tỉnh Saitama. Cô tốt nghiệp Trường Cao đẳng Mĩ thuật Musashino. Các tác phẩm của cô đều lấy rau củ quả làm nhân vật chính. Và dưới ngòi bút tài tình của mình, cô đã khiến tất cả hiện lên thật hài hước và sinh động.
Trọn bộ “NHỮNG NGƯỜI BẠN NGỘ NGHĨNH” gồm 8 cuốn:
Chào Buổi Sáng Tốt Lành!
Tớ Có Giỏi Không Nào?
Cho Tớ Xin Lỗi Nhé!
Chúng Mình Cùng Dọn Dẹp!
Bé Hành Tây Khóc Nhè!
Hãy Giữ Trật Tự Nhé!
Cảm Ơn Bạn Cà Chua!
Chúc Các Bạn Ngủ Ngon!
  
" "
				    28				" "Sách tiếng Việt" "Thiếu nhi" "Truyện Thiếu Nhi" "Truyện Tranh Thiếu Nhi" "27.000 đ" "30.000 đ"
https://www.fahasa.com/be-hoc-le-giao-tap-45-bubu-cham-chap-tai-ban.html https://cdn0.fahasa.com/media/catalog/product/8/9/8934974180746.jpg "

					Bé Học Lễ Giáo - Tập 45: Bubu Chậm Chạp (Tái Bản)				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    Nhiều Tác Giả				" "
				    Trẻ				" "
				    2022				" "
				    18.5 x 18.5 cm				" "
				    Bìa Mềm				" "
Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi. 
" "
				    16				" "Sách tiếng Việt" "Thiếu nhi" "Truyện Thiếu Nhi" "Truyện Tranh Thiếu Nhi" "13.500 đ" "15.000 đ"
